Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b77556ab82ff3e4af2c04,612962f44f151ddfd0298c52,APPROVED,Not Applicable,2025-11-17T19:28:26.475000Z,2025-11-17T19:35:07.369000Z,2025-11-17T20:10:55.627000Z,2025-11-17T19:35:07.783253Z,401.0,C16GZ4K4,12113,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,More than $150000,Donald Trump,Donald Trump,65,Male,White,United States,United States,United States,English,No,Full-Time
691b777217be02e6a902b6dd,62a099bb01ad779df1971ea4,APPROVED,Not Applicable,2025-11-17T19:29:03.736000Z,2025-11-17T19:36:30.616000Z,2025-11-17T20:10:57.592000Z,2025-11-17T19:36:31.028143Z,447.0,C16GZ4K4,9189,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$100000–$149999,Donald Trump,Donald Trump,62,Female,White,United States,United States,United States,English,No,Full-Time
691b777fe0f59b207fcb9047,6789c87c592bb3021078ff42,APPROVED,Not Applicable,2025-11-17T19:29:07.541000Z,2025-11-17T19:40:24.353000Z,2025-11-17T20:10:57.951000Z,2025-11-17T19:40:24.731570Z,677.0,C16GZ4K4,1540,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$50000–$59999,Donald Trump,Donald Trump,30,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
691b77850f74b8db5a7d883f,6824afdfce30efcd2e7274ef,APPROVED,Not Applicable,2025-11-17T19:29:19.111000Z,2025-11-17T19:47:56.675000Z,2025-11-17T20:10:58.239000Z,2025-11-17T19:47:57.184303Z,1118.0,C16GZ4K4,2277,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Donald Trump,Donald Trump,37,Female,White,United States,United States,United States,English,Yes,Full-Time
691b778d88abf3f6255c9d70,67a95d468d14bd6324b4bbba,APPROVED,Not Applicable,2025-11-17T19:29:21.803000Z,2025-11-17T19:40:17.457000Z,2025-11-17T20:10:58.528000Z,2025-11-17T19:40:17.849837Z,656.0,C16GZ4K4,3571,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Doctorate degree (PhD/other),$80000–$89999,Donald Trump,Donald Trump,32,Male,White,United States,United States,United States,English,No,Full-Time
691b77edd2175f56ffd06d72,6644f2a159605531f830f5d2,APPROVED,Not Applicable,2025-11-17T19:31:13.760000Z,2025-11-17T19:41:43.947000Z,2025-11-17T20:10:58.802000Z,2025-11-17T19:41:44.336032Z,631.0,C16GZ4K4,2007,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$50000–$59999,Rather not say or N/A,Donald Trump,32,Female,White,United States,United States,United States,English,No,Full-Time
691b77f3f435cb0a564522d3,5fe49a4ad8918ba1615e298d,APPROVED,Not Applicable,2025-11-17T19:31:06.051000Z,2025-11-17T19:40:23.760000Z,2025-11-17T20:10:59.101000Z,2025-11-17T19:40:24.183728Z,558.0,C16GZ4K4,9803,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,61,Female,White,United States,United States,United States,English,No,Full-Time
691b78008583050b82b0e2ee,62029a55ef1cb18a1337c61a,APPROVED,Not Applicable,2025-11-17T19:31:16.044000Z,2025-11-17T19:41:21.834000Z,2025-11-17T20:10:59.399000Z,2025-11-17T19:41:22.238459Z,606.0,C16GZ4K4,18893,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),$100000–$149999,Donald Trump,Donald Trump,27,Male,White,United States,United States,United States,English,No,Full-Time
691b784117fb2e08892dcee6,6753b22cfa25adc6f658bee0,APPROVED,Not Applicable,2025-11-17T19:33:07.335000Z,2025-11-17T19:43:09.830000Z,2025-11-17T20:10:59.684000Z,2025-11-17T19:43:10.267765Z,603.0,C16GZ4K4,1382,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,Less than $10000,Donald Trump,Donald Trump,28,Male,White,United States,United States,United States,English,No,Full-Time
691b7842dbc5577246e451e9,55b6ed4afdf99b437183fa6f,APPROVED,Not Applicable,2025-11-17T19:41:37.989000Z,2025-11-17T20:03:06.180000Z,2025-11-17T20:11:00.059000Z,2025-11-17T20:03:06.724650Z,1289.0,C16GZ4K4,7288,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$70000–$79999,Donald Trump,I did not vote,52,Female,White,United States,United States,United States,English,No,Full-Time
