Submission id,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b8155847d1f8af4691561,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$50000–$59999,I did not vote,I did not vote,19,Female,White,United States,United States,United States,English,Yes,Part-Time
691b81a67cd037140b9c66b1,"English, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Mixed,Undergraduate degree (BA/BSc/other),$100000–$149999,Joe Biden,Kamala Harris,38,Female,White,United States,United States,United States,English,No,Full-Time
691b81b2e9417b9ab013aac3,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),More than $150000,Donald Trump,Donald Trump,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b81b329a591f1c371d194,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$50000–$59999,Donald Trump,Donald Trump,31,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
691b821be0fda1c95b03e5e7,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$50000–$59999,Donald Trump,Donald Trump,28,Male,White,United States,United States,United States,English,No,Part-Time
691b8225ba60aed3bbbee119,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$100000–$149999,I did not vote,Donald Trump,20,Female,White,United States,United States,United States,English,No,Full-Time
691b825f643661bf8298ffd1,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Doctorate degree (PhD/other),$90000–$99999,Donald Trump,Donald Trump,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
691b826a074e5a742aa67d1b,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),$10000–$15999,Donald Trump,Donald Trump,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b826b44af82da31516384,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$10000–$15999,I did not vote,I did not vote,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b82916061448222c44404,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),$100000–$149999,Donald Trump,Donald Trump,62,Male,White,United States,United States,United States,English,No,Other
691b829811a3187ba16f0695,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$90000–$99999,Donald Trump,Donald Trump,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b82b16c4258a3549cf5a1,"Spanish, English",Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,High school diploma/A-levels,$40000–$49999,Donald Trump,I did not vote,53,Male,Mixed,United States,United States,United States,Spanish,No,Part-Time
691b82b4701d6aef1c67f89f,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$100000–$149999,I did not vote,Donald Trump,34,Female,White,United States,United States,United States,English,No,Full-Time
691b82faa9e24cb14c9aee7f,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),South Asian,Technical/community college,$70000–$79999,Donald Trump,Donald Trump,39,Male,Asian,India,United States,United States,English,No,Part-Time
